sample-id	dna-conc	sample-type	conc-units	phenotype-intensity	serial-id	plate-no	well-id	mother-location	collection-date	country	village	phenotype	dev-stage	age	feeding-status	mating-status	generation	insecticide-tested	insecticide-class	sample-preservative	storage	extraction-kit	1014s-mutation
KitPermSus1XF1S1	680.6	sample	pg-per-ul	Sus1x	1	1	A1	Kitabisi	apr-may-2018	Kenya	Kitabisi	Susceptible	Adult	2-3d	non-blood-fed	Virgin	F1	Permethrin	Pyrethroid	None	Neg20	MasterpureGramPositiveDNAKit	HomozygousResistant
KitPermSus1XF1S2	8682.55	sample	pg-per-ul	Sus1x	2	1	B1	Kitabisi	apr-may-2018	Kenya	Kitabisi	Susceptible	Adult	2-3d	non-blood-fed	Virgin	F1	Permethrin	Pyrethroid	None	Neg20	MasterpureGramPositiveDNAKit	HomozygousResistant
KitPermSus1XF1S3	706.6	sample	pg-per-ul	Sus1x	3	1	C1	Kitabisi	apr-may-2018	Kenya	Kitabisi	Susceptible	Adult	2-3d	non-blood-fed	Virgin	F1	Permethrin	Pyrethroid	None	Neg20	MasterpureGramPositiveDNAKit	HomozygousResistant
KitPermSus1XF1S4	456.1	sample	pg-per-ul	Sus1x	4	1	D1	Kitabisi	apr-may-2018	Kenya	Kitabisi	Susceptible	Adult	2-3d	non-blood-fed	Virgin	F1	Permethrin	Pyrethroid	None	Neg20	MasterpureGramPositiveDNAKit	HomozygousResistant
KitPermSus5XF1S19	594.1	sample	pg-per-ul	Sus5x	19	1	G2	Kitabisi	apr-may-2018	Kenya	Kitabisi	Susceptible	Adult	2-3d	non-blood-fed	Virgin	F1	Permethrin	Pyrethroid	None	Neg20	MasterpureGramPositiveDNAKit	HomozygousResistant
KitPermSus5XF1S20	762.6	sample	pg-per-ul	Sus5x	20	1	H2	Kitabisi	apr-may-2018	Kenya	Kitabisi	Susceptible	Adult	2-3d	non-blood-fed	Virgin	F1	Permethrin	Pyrethroid	None	Neg20	MasterpureGramPositiveDNAKit	HomozygousResistant
KitPermSus5XF1S21	16592.75	sample	pg-per-ul	Sus5x	21	1	A3	Kitabisi	apr-may-2018	Kenya	Kitabisi	Susceptible	Adult	2-3d	non-blood-fed	Virgin	F1	Permethrin	Pyrethroid	None	Neg20	MasterpureGramPositiveDNAKit	HomozygousResistant
KitPermSus5XF1S22	863.45	sample	pg-per-ul	Sus5x	22	1	B3	Kitabisi	apr-may-2018	Kenya	Kitabisi	Susceptible	Adult	2-3d	non-blood-fed	Virgin	F1	Permethrin	Pyrethroid	None	Neg20	MasterpureGramPositiveDNAKit	HomozygousResistant
KitPermSus5XF1S23	2191.75	sample	pg-per-ul	Sus5x	23	1	C3	Kitabisi	apr-may-2018	Kenya	Kitabisi	Susceptible	Adult	2-3d	non-blood-fed	Virgin	F1	Permethrin	Pyrethroid	None	Neg20	MasterpureGramPositiveDNAKit	HomozygousResistant
KitPermSus5XF1S24	9528.15	sample	pg-per-ul	Sus5x	24	1	D3	Kitabisi	apr-may-2018	Kenya	Kitabisi	Susceptible	Adult	2-3d	non-blood-fed	Virgin	F1	Permethrin	Pyrethroid	None	Neg20	MasterpureGramPositiveDNAKit	HomozygousResistant
KitPermSus5XF1S25	1628.6	sample	pg-per-ul	Sus5x	25	1	E3	Kitabisi	apr-may-2018	Kenya	Kitabisi	Susceptible	Adult	2-3d	non-blood-fed	Virgin	F1	Permethrin	Pyrethroid	None	Neg20	MasterpureGramPositiveDNAKit	HomozygousResistant
KitPermSus5XF1S26	1896.6	sample	pg-per-ul	Sus5x	26	1	F3	Kitabisi	apr-may-2018	Kenya	Kitabisi	Susceptible	Adult	2-3d	non-blood-fed	Virgin	F1	Permethrin	Pyrethroid	None	Neg20	MasterpureGramPositiveDNAKit	HomozygousResistant
KitPermSus5XF1S27	527	sample	pg-per-ul	Sus5x	27	1	G3	Kitabisi	apr-may-2018	Kenya	Kitabisi	Susceptible	Adult	2-3d	non-blood-fed	Virgin	F1	Permethrin	Pyrethroid	None	Neg20	MasterpureGramPositiveDNAKit	HomozygousResistant
KitPermSus5XF1S28	299.1	sample	pg-per-ul	Sus5x	28	1	H3	Kitabisi	apr-may-2018	Kenya	Kitabisi	Susceptible	Adult	2-3d	non-blood-fed	Virgin	F1	Permethrin	Pyrethroid	None	Neg20	MasterpureGramPositiveDNAKit	HomozygousResistant
KitPermSus5XF1S29	1188.4	sample	pg-per-ul	Sus5x	29	1	A4	Kitabisi	apr-may-2018	Kenya	Kitabisi	Susceptible	Adult	2-3d	non-blood-fed	Virgin	F1	Permethrin	Pyrethroid	None	Neg20	MasterpureGramPositiveDNAKit	HomozygousResistant
KitPermSus5XF1S30	723.55	sample	pg-per-ul	Sus5x	30	1	B4	Kitabisi	apr-may-2018	Kenya	Kitabisi	Susceptible	Adult	2-3d	non-blood-fed	Virgin	F1	Permethrin	Pyrethroid	None	Neg20	MasterpureGramPositiveDNAKit	HomozygousResistant
KitPermSus5XF1S31	1105	sample	pg-per-ul	Sus5x	31	1	C4	Kitabisi	apr-may-2018	Kenya	Kitabisi	Susceptible	Adult	2-3d	non-blood-fed	Virgin	F1	Permethrin	Pyrethroid	None	Neg20	MasterpureGramPositiveDNAKit	HomozygousResistant
KitPermSus5XF1S32	21023.85	sample	pg-per-ul	Sus5x	32	1	D4	Kitabisi	apr-may-2018	Kenya	Kitabisi	Susceptible	Adult	2-3d	non-blood-fed	Virgin	F1	Permethrin	Pyrethroid	None	Neg20	MasterpureGramPositiveDNAKit	HomozygousResistant
KitPermSus5XF1S33	293.15	sample	pg-per-ul	Sus5x	33	1	E4	Kitabisi	apr-may-2018	Kenya	Kitabisi	Susceptible	Adult	2-3d	non-blood-fed	Virgin	F1	Permethrin	Pyrethroid	None	Neg20	MasterpureGramPositiveDNAKit	HomozygousResistant
KitPermSus5XF1S34	750.35	sample	pg-per-ul	Sus5x	34	1	F4	Kitabisi	apr-may-2018	Kenya	Kitabisi	Susceptible	Adult	2-3d	non-blood-fed	Virgin	F1	Permethrin	Pyrethroid	None	Neg20	MasterpureGramPositiveDNAKit	HomozygousResistant
KitPermSus5XF1S35	297.8	sample	pg-per-ul	Sus5x	35	1	G4	Kitabisi	apr-may-2018	Kenya	Kitabisi	Susceptible	Adult	2-3d	non-blood-fed	Virgin	F1	Permethrin	Pyrethroid	None	Neg20	MasterpureGramPositiveDNAKit	HomozygousResistant
KitPermSus5XF1S36	842.7	sample	pg-per-ul	Sus5x	36	1	H4	Kitabisi	apr-may-2018	Kenya	Kitabisi	Susceptible	Adult	2-3d	non-blood-fed	Virgin	F1	Permethrin	Pyrethroid	None	Neg20	MasterpureGramPositiveDNAKit	HomozygousResistant
KitPermSus5XF1S37	270.95	sample	pg-per-ul	Sus5x	37	1	A5	Kitabisi	apr-may-2018	Kenya	Kitabisi	Susceptible	Adult	2-3d	non-blood-fed	Virgin	F1	Permethrin	Pyrethroid	None	Neg20	MasterpureGramPositiveDNAKit	HomozygousResistant
KitPermSus5XF1S38	3464.75	sample	pg-per-ul	Sus5x	38	1	B5	Kitabisi	apr-may-2018	Kenya	Kitabisi	Susceptible	Adult	2-3d	non-blood-fed	Virgin	F1	Permethrin	Pyrethroid	None	Neg20	MasterpureGramPositiveDNAKit	HomozygousResistant
